ChickID,Nest,Date,ToeNail,Mass_total,mass_bag,Mass_net,S_T,Tar,Treatment_Type
G5,G,2018-09-11,TN5,35,10,25,21.25,23.78,Experimental
G5,G,2018-09-12,TN5,36,11,25,21.85,23.54,Experimental
G5,G,2018-09-14,TN5,39,10,29,21.31,25.57,Experimental
U1,U,2018-09-29,TN1,40,11,29,21.59,23.35,Experimental
U1,U,2018-09-30,TN1,41,11,30,21.78,26,Experimental
U1,U,2018-10-02,TN1,46,11,35,22.18,26.72,Experimental
U2,U,2018-09-29,TN2,39,11,28,22.43,22.63,Experimental
U2,U,2018-09-30,TN2,39,11,28,22.09,25.45,Experimental
U2,U,2018-10-02,TN2,44,11,33,22.6,26.73,Experimental
U3,U,2018-10-04,TN3,43,11,32,22.04,24.16,Experimental
U5,U,2018-10-08,TN5,42,11,31,22.31,24.05,Experimental
V1,V,2018-10-01,TN1,40,11,29,21.93,22.87,Control
V1,V,2018-10-02,TN1,39,11,28,22.24,24.81,Control
V1,V,2018-10-03,TN1,38,11,27,22.03,23.25,Control
V1,V,2018-10-04,TN1,45,11,34,21.46,25.08,Control
V1,V,2018-10-05,TN1,35,11,24,21.84,26.71,Control
V2,V,2018-10-05,TN2,39,11,28,21.52,22.76,Control
V2,V,2018-10-06,TN2,37,11,26,21.09,23.51,Control
V2,V,2018-10-07,TN2,36,11,25,21.44,22.66,Control
V3,V,2018-10-06,TN3,36,11,25,22.07,22.55,Control
V3,V,2018-10-07,TN3,36,11,25,21.89,23.7,Control
V4,V,2018-10-06,TN4,36,11,25,22.75,22.04,Control
V4,V,2018-10-07,TN4,34,11,23,22.35,23.31,Control
V4,V,2018-10-15,TN4,47,11,36,23.75,27.66,Control
V4,V,2018-10-22,TN4,66,10,56,24.36,31.04,Control
V5,V,2018-10-07,TN5,43,11,32,21.78,24.74,Control
S1,S,2018-09-26,TN1,31,11,20,22.74,22.44,Experimental
S1,S,2018-09-27,TN1,31,11,20,23.17,22.88,Experimental
S1,S,2018-09-28,TN1,33,11,22,22.56,22.92,Experimental
S1,S,2018-09-29,TN1,31,11,20,22.06,23.3,Experimental
S1,S,2018-09-30,TN1,32,11,21,23.08,24.43,Experimental
S1,S,2018-10-01,TN1,33,11,22,22.06,23.33,Experimental
S2,S,2018-10-07,TN5,35,11,24,22.5,22.27,Experimental
AR1,AR,2018-10-10,TN1,39,11,28,21.52,21.93,Experimental
AR1,AR,2018-10-11,TN1,35,11,24,21.91,23.29,Experimental
AR1,AR,2018-10-12,TN1,41,11,30,22.2,24.8,Experimental
AR2,AR,2018-10-12,TN2,35,11,24,22.8,22.14,Experimental
AR1,AR,2018-10-13,TN1,39,11,28,21.76,24.09,Experimental
AR2,AR,2018-10-13,TN2,35,11,24,21.97,21.73,Experimental
AR3,AR,2018-10-14,TN3,32,11,21,22.61,22.67,Experimental
AR2,AR,2018-10-15,TN2,30,11,19,22.55,21.82,Experimental
AR1,AR,2018-10-18,TN1,49,11,38,22.9,27.95,Experimental
AR1,AR,2018-10-25,TN1,51,11,40,23.1,28.12,Experimental
AR1,AR,2018-11-11,TN1,177,13,164,32.23,52.83,Experimental
AR1,AR,2018-11-14,TN1,172,11,161,,53.02,Experimental
N1,N,2018-08-31,TN1,33,11,22,21.44,21.49,Control
N1,N,2018-09-01,TN1,32,11,21,21.36,21.16,Control
N1,N,2018-09-02,TN1,31,11,20,20.73,23.2,Control
N2,N,2018-09-02,TN2,33,11,22,21.8,21.34,Control
N1,N,2018-09-03,TN1,32,11,21,21.36,22.87,Control
N2,N,2018-09-03,TN2,34,11,23,20.81,21.19,Control
N3,N,2018-09-03,TN3,34,11,23,20.99,21.79,Control
N4,N,2018-09-03,TN4,36,11,25,21.24,22.72,Control
N4,N,2018-09-04,TN4,32,10,22,21.29,20.81,Control
N4,N,2018-09-05,TN4,32,11,21,21.59,22.36,Control
N4,N,2018-09-06,TN4,30,11,19,20.45,22.8,Control
N4,N,2018-09-07,TN4,35,10,25,21.6,22.95,Control
N1,BD,2018-10-18,TN1,36,11,25,21.6,22.11,Control
N2,BD,2018-10-18,TN2,38,11,27,21.78,24.26,Control
N1,BD,2018-10-19,TN1,35,11,24,21.73,23.01,Control
N3,BD,2018-10-19,TN3,36,11,25,21.16,23.85,Control
N4,BD,2018-10-19,TN4,36,11,25,20.93,23.51,Control
N3,BD,2018-10-20,TN3,40,10,30,21.82,24.07,Control
