Species,duration,disttomax,Start2End:Δfreq/Time,Min2Max:Δfreq/time,peak freq@start,peak freq@end,peak freq@centre,peak freq@maxamp,MIN FREQ,MAX FREQ,Call Bandwidth,StarttoPeak:Δfreq/time,# Modulations,inter-peak duration
3,0.0562,0.0308,-15292.742,-28985.08,5900,6760,6410,6540,5900,7530,1630,-109101.57,6,0.0163
3,0.0591,0.0272,-6425.614,-22489.648,7450,7830,8050,7830,6930,8260,1330,-112875,8,0.0145
3,0.0562,0.0326,-17604.436,-34319.758,6460,7450,7010,7190,6460,8390,1930,-147459.375,8,0.0152
3,0.0565,0.0206,4593.75,-19788.463,7620,7360,7450,7450,7140,8260,1120,-84892.5,6,0.0156
3,0.0602,0.0257,664.157,-18596.385,6930,6890,7270,7060,6760,7880,1120,-172892.047,7,0.0137
3,0.0605,0.0257,660.18,-16999.627,6930,6890,7700,7060,6760,7790,1030,-186375,7,0.0134
3,0.0413,0.021,-6286.185,-28287.83,6840,7100,7320,7360,6840,8010,1170,-124031.258,4,0.017
4,0.0478,0.0297,-8143.466,-42178.98,7270,7660,8390,6410,6370,8390,2020,215332.031,9,0.0141
4,0.0471,0.0308,10812.981,-26290.385,6970,6460,6970,7060,6460,7700,1240,-181912.5,6,0.0141
4,0.0417,0.0177,10305.979,-34033.695,7700,7270,7060,6630,6370,7790,1420,-118730.773,8,0.0148
4,0.0627,0.0268,-4779.624,-37759.031,6280,6580,7010,6890,6110,8480,2370,-227690.234,8,0.0145
5,0.038,0.0232,-1312.5,-31762.502,7010,7060,7190,6890,6670,7880,1210,-134367.188,5,0.0134
5,0.0475,0.017,-6312.023,-26300.096,7190,7490,7010,7060,6710,7960,1250,84656.25,4,0.0141
5,0.0391,0.0206,-13015.625,-31901.043,7190,7700,8350,8310,7100,8350,1250,-148148.438,4,0.0159
5,0.0402,0.0246,-18126.689,-50158.785,6930,7660,8050,7230,6930,8950,2020,-119437.5,6,0.0141
5,0.0478,0.0235,-19627.842,-40299.719,6200,7140,6970,6970,6200,8130,1930,-113695.32,7,0.0141
5,0.0504,0.0199,-23794.965,-34106.117,6930,8130,8610,7190,6930,8650,1720,-82687.5,7,0.0094
5,0.0373,0.0246,-19534.588,-40139.566,6760,7490,8010,7100,6760,8260,1500,-112646.742,6,0.0119
6,0.0714,0.0515,-9094.227,-25883.568,7100,7750,7400,7620,7060,8910,1850,-163474.141,8,0.0181
6,0.0787,0.0471,1143.145,-18544.355,7360,7270,8520,7620,7230,8690,1460,-85312.5,12,0.0134
6,0.0769,0.0536,-6760.613,-27562.5,7230,7750,7450,7700,7010,9130,2120,-35831.25,9,0.0126
6,0.0852,0.0522,-5043.351,-26741.49,7230,7660,7660,7790,6970,9250,2280,-76781.25,7,0.0145
6,0.0692,0.0507,16162.304,-28572.645,7270,6150,6970,7360,6150,8130,1980,-60971.594,7,0.0159
6,0.083,0.0486,-5175.491,-17572.6,7490,7920,8440,7620,7230,8690,1460,-66354.172,12,0.0123
6,0.0725,0.0533,-3031.875,-25495.313,7270,7490,7360,7620,7060,8910,1850,-122882.82,8,0.0177
6,0.0809,0.0486,3707.96,-18539.799,7490,7190,8570,7620,7190,8690,1500,102732.961,12,0.0134
7,0.0515,0.0268,-27562.5,-30862.236,6540,7960,7140,7100,6540,8130,1590,-57487.5,7,0.0148
7,0.0464,0.0083,1722.656,-17657.227,7140,7060,6760,6760,6670,7490,820,-21437.5,6,0.0141
7,0.0493,0.0192,-6890.625,-26143.844,6630,6970,7920,7190,6630,7920,1290,-101390.633,8,0.0163
7,0.0634,0.0145,-11497.501,-19057.502,7360,8090,8090,7960,7140,8350,1210,-36573.316,2,0.0061
7,0.0417,0.0221,2157.065,-20611.957,7230,7140,6630,6710,6540,7400,860,59365.387,6,0.0163
7,0.0264,0.0072,-27562.5,-30583.049,6540,7270,7190,6760,6460,7270,810,-50884.617,2,0.0105
7,0.0522,0.0246,-1531.25,-15503.906,6760,6840,7140,7320,6760,7570,810,-65663.609,6,0.0156
7,0.0468,0.0076,7264.535,-27562.5,6970,6630,7190,7060,6630,7920,1290,-87764.805,4,0.0156
7,0.046,0.0319,0,-33639.273,7400,7400,7830,7570,7270,8820,1550,-59937.5,7,0.0185
7,0.0511,0.0152,-781.915,-18570.479,7190,7230,7100,7360,7010,7960,950,-56575.66,8,0.013
7,0.0359,0.0315,-4732.955,-25335.229,7400,7570,7190,7490,7140,8050,910,78093.75,4,0.0159
7,0.0413,0.0177,-12572.369,-29254.936,6670,7190,7360,6970,6670,7880,1210,-83606.25,4,0.0152
7,0.0486,0.0076,23037.314,-23037.314,8390,7270,7880,7880,7270,8390,1120,67108.703,6,0.0156
7,0.0431,0.0344,-2084.559,-22930.148,7140,7230,7570,7570,7140,8130,990,-124031.258,6,0.0126
7,0.0391,0.0152,0,-26286.459,6580,6580,6760,6760,6200,7230,1030,-65579.742,4,0.0105
7,0.046,0.0272,1085.138,-29949.805,5900,5850,6460,6200,5850,7230,1380,-34300,6,0.0108
7,0.0453,0.0308,-882,-16978.5,6500,6540,7100,6540,6370,7140,770,49382.816,6,0.0163
7,0.0522,0.0308,-4976.563,-14929.688,7530,7790,7660,7660,7530,8310,780,-33468.75,5,0.017
7,0.0431,0.0195,3011.03,-42849.266,7140,7010,7320,7140,6930,8780,1850,-62270.836,4,0.0159
7,0.0478,0.0105,-7308.239,-18792.613,6970,7320,7360,7450,6800,7700,900,-55125.004,6,0.0119
7,0.0409,0.0228,-25367.256,-35855.641,7140,8180,7490,7400,7140,8610,1470,-71662.5,7,0.0145
7,0.0682,0.0446,1905.918,-11288.897,6280,6150,6370,6370,6070,6840,770,-40425,9,0.0119
7,0.0409,0.0188,18781.527,-18781.527,7700,6930,7190,7100,6930,7700,770,70284.375,5,0.0108
7,0.0595,0.0355,-8067.073,-25377.668,6280,6760,7700,6840,6280,7790,1510,-151593.75,6,0.0119
7,0.0518,0.0148,-28140.734,-31610.141,6670,8130,7450,7140,6670,8310,1640,-107853.266,7,0.0152
7,0.0181,0.0018,0,-59535,7060,7060,8050,7100,6970,8050,1080,-106312.508,2,0.0166
7,0.0301,0.0199,4317.018,-22913.404,6840,6710,6760,6800,6670,7360,690,-40868.535,4,0.0152
7,0.0366,0.0181,-17738.244,-33020.422,7010,7660,7360,7360,7010,8220,1210,-63605.77,4,0.0141
